book_title,book_brand,book_price
The Unhoneymooners,"Little, Brown Book Group",16.49
Bunny,Head of Zeus Ltd.,16.49
Confess,Simon + Schuster UK,15.29
Love on the Brain,"Little, Brown Book Group",14.69
Things We Never Got Over,Hodder And Stoughton Ltd.,15.29
My Killer Vacation,"Little, Brown Book Group",16.49
Twisted Games,"Little, Brown Book Group",16.49
Neon Gods,SOURCEBOOKS INC,19.69
The Invisible Life of Addie LaRue,Macmillan USA,25.09
The Hating Game,"Little, Brown Book Group",15.29
The Alchemist,Harper Collins,11.59
To Kill a Mockingbird. 60th Anniversary Edition,Random House UK Ltd,14.09
November 9,ATRIA,23.89
The Goldfinch,Bloomsbury Publishing,17.79
Carrie,Random House,13.49
Trainspotting,Random House,15.29
The Three-Body Problem,Head of Zeus,15.29
The Mountain Shadow,"Little, Brown and Company",18.49
The Cartel,Macmillan USA,13.49
The Silent Patient,Penguin Books,12.89
Pulp,Penguin Books,15.69
Imagine Me Gone,Hodder And Stoughton Ltd.,15.29
Alice's Adventures in Wonderland,Bloomsbury UK,12.19
11.22.63,"Little, Brown Book Group",18.49
House of Sky and Breath,Simon + Schuster UK,23.89
"To Sir Phillip, With Love",Harper Collins,15.89
The Perks of Being a Wallflower,Canongate Books Ltd.,14.09
The Road,Norton & Company,12.89
The Midnight Library,"Little, Brown Book Group",16.49
Fight Club,"Little, Brown Book Group",15.79
When He Was Wicked,Faber And Faber Ltd.,15.29
On The Way To The Wedding,Penguin Books Ltd (UK),15.29
The Bell Jar,Hodder,14.69
The Great Gatsby,Penguin,11.79
Dune,Harper Collins Publ. UK,15.39
Nineteen Eighty-four,Penguin Books,13.49
All The Light We Cannot See,Penguin LCC US,12.89
The Catcher in the Rye,Orion Publishing Group,11.79
Atlas Shrugged,Random House UK Ltd,14.69
The Queen's Gambit,Hachette Book Group USA,15.29
Killing Commendatore,Random House LCC US,17.79
Circe,Harper Collins Publ. UK,15.29
A Spark of Light,Quercus Publishing Plc,18.89
The Accidental Further Adventures of the Hundred-Year-Old Man,Harper Collins,15.29
Before We Were Yours,Penguin LCC US,15.29
"The Fellowship of the Ring: The Lord of the Rings, Part 1",Simon + Schuster UK,14.09
One Flew Over the Cuckoo's Nest,Bloomsbury UK,14.69
Icebreaker,Orion Publishing Group,14.09
A Court of Silver Flames,Faber And Faber Ltd.,24.49
Mistborn: Secret History,Atlantic Books,17.79
Milkman,Orion Publishing Group,16.49
Call Me By Your Name,Simon + Schuster Inc.,14.09
The Lady of the Lake,Vintage Publishing,14.59
Ugly Love,Faber And Faber Ltd.,23.89
My Policeman,Orion Publishing Group,15.29
Lord of the Flies,Penguin Books Ltd (UK),12.89
METRO 2033,Penguin Books Ltd (UK),14.59
On the Road,Penguin Books Ltd (UK),15.29
Nineteen Eighty-Four (1984),Harper Collins,12.89
Atlas Shrugged,Harper Collins,16.49
"The Two Towers: The Lord of the Rings, Part 2",Penguin LCC US,12.89
